image_name,dice,precision,Jaccard,F1,Recall
12003(Threshold),0.6945884499051017,0.7060138792315978,0.5320838856179937,0.6945884499051017,0.6835269271383315
12003(Edge),0.043568178684682206,0.024966421742909063,0.0222692036645525,0.043568178684682206,0.17090319091400757
12003(Cluster),0.2933918821769289,0.24762036222494752,0.06921809435667269,0.10299364582155875,0.12160138360684193
15004(Threshold),0.6126794597048586,0.8481645672271179,0.44162790206689795,0.6126794597048586,0.47953967125925584
15004(Edge),0.04714672162823651,0.027182254790315392,0.024142480211081795,0.04714672162823651,0.1775549805950841
15004(Cluster),0.15107415107415106,0.8606853770565636,0.018533938635842927,0.032200503733508315,0.048873565273147235
23025(Threshold),0.2758565600661855,0.29481206858703873,0.15999629362437207,0.2758565600661855,0.25919135385506126
23025(Edge),0.10940126729600413,0.08331691944061453,0.05786593707250342,0.10940126729600413,0.1592620481927711
23025(Cluster),0.3507684535721919,0.6742847954510702,0.043265285759877835,0.055434279250237195,0.06085816844184185
33066(Threshold),0.402898355421718,0.4571512585274053,0.2522684494061141,0.402898355421718,0.3601564165052772
33066(Edge),0.1292170147377244,0.10105976182672348,0.06907108721624851,0.1292170147377244,0.17912470952749807
33066(Cluster),0.32443442723816557,0.8908769678287672,0.026817417655835066,0.04038734857728395,0.05005485454526715
28096(Threshold),0.03235577261734251,0.01730481847521694,0.016443914081145584,0.03235577261734251,0.2484225707589688
28096(Edge),0.07780979827089336,0.05563186813186813,0.04047976011994003,0.07780979827089336,0.12939297124600638
28096(Cluster),0.8280386785059682,0.03563223492841981,0.02600373188688357,0.03168862898352312,0.7274541222879455
23080(Threshold),0.37219459212256323,0.45730902143679936,0.22864808675619486,0.37219459212256323,0.3137916409623689
23080(Edge),0.11436740528949249,0.07401315789473684,0.060652009097801364,0.11436740528949249,0.25148445686342996
23080(Cluster),0.08404738311280367,0.761078642384142,0.006828871406576338,0.012837182390592648,0.015675896626025754
